subject	r	rnp
1	0.22023962278367945	0.6099858010953458
2	0.10562223402086092	0.5426848767697355
3	-0.07713253709845341	0.4997651557899216
4	-0.014096126719442567	0.3897233605027227
5	0.11651074038172422	0.5715395202075284
6	0.30583332653183964	0.5660162729428369
7	0.026288063900894425	0.5260973683824375
8	-0.11930116335607505	0.294765675457544
9	0.14608580206489732	0.5383373346196538
10	-0.08456139111387807	0.5329452095918419
12	-0.03998010844906291	0.4835545119983341
13	-0.010989896350347403	0.3478948270513783
14	0.22562725900114053	0.289429596813906
16	0.3502019290290923	0.488238423785184
17	0.13221582877560392	0.3060078117820852
18	-0.07684198040508632	0.3982697768024607
19	0.045186362029476956	0.371305086782467
21	0.20494374910014665	0.421784134510452
22	-0.06733848658486893	0.6708683251086484
23	0.13366918375700684	0.5359521996041572
24	0.12705664065637612	0.5151307739989598
25	0.013208871024241073	0.5730951636206719
26	0.20495460992213357	0.5534775754256774
28	0.03608782170072841	0.4021168220856646
29	0.14533944384284467	0.5305804384311378
30	0.04627193176268984	0.4627835371276367
31	0.06653593155744122	0.661418612189373
32	0.3114149287186078	0.4171777982412287
33	-0.023297861023083705	0.2454488403045296
34	0.21906121619088514	0.53017836852723
35	0.20226650009164635	0.2465359576695191
36	-0.03168320876527462	0.5878277205222059
37	0.1037621698213911	0.4484659697361303
38	0.23334939078119252	0.5323565245237082
39	-0.156499942910494	0.4443626299231308
40	0.14396302803079705	0.5479719766554941
41	0.1561785160870591	0.4817967873167876
42	-0.21269798882299737	0.4492283059067761
43	0.19162308832701028	0.6671105890398144
44	-0.0070288129129867745	0.5770871227237351
45	0.13926114415233817	0.6391308320337452
46	0.13188948042419393	0.4021638073253936
47	0.14689049932013568	0.6247661999596569
48	0.15587320447186467	0.4864322936369088
116	0.09859225819325013	0.4019827106363774
130	0.04404548401156694	0.4793400931174225
141	0.09574740094373423	0.4774489176468021
150	0.2765963091184929	0.1584122262979974
152	0.25669515366337825	0.5068378556458275
163	0.2212115208852805	0.5841314070422049
165	0.23981084009247008	0.6738444980253484
