subject	rnp
1	0.6105257916438549
2	0.5437210324286765
3	0.5003852134873092
4	0.38980998446129095
5	0.5717498099797406
6	0.5657264293229263
7	0.5255382851937429
8	0.2591566335418567
9	0.5387986436660538
10	0.5329851628077087
11	0.39229528866601315
12	0.4833330399105907
13	0.34895577608322553
14	0.2889783623279709
16	0.48868094650011507
17	0.30615594774259414
18	0.39786293483991064
19	0.37201766685096593
21	0.42212124038768745
22	0.669694116421788
23	0.5356866323025776
24	0.5148405752087211
25	0.5722129369230099
26	0.5539563764807115
27	0.5308897422084367
28	0.4030402120938238
29	0.5308073226213031
30	0.46387116348144675
31	0.6591406086768604
33	0.2477341200031084
34	0.5300556380741028
35	0.24627551829895086
36	0.5873610143013617
37	0.4474058138340463
38	0.5324626471982516
39	0.4441724199543162
40	0.548064558033719
41	0.4806401797879421
42	0.44938940862852217
43	0.6672713377279766
44	0.5777506935700172
45	0.6385891303867866
46	0.40425692771155847
47	0.6248128603622402
48	0.4868366300900896
55	0.48839867700569994
56	0.6288199618610195
57	0.39535896507100554
58	0.33600207669623944
59	0.40185533030912396
101	0.4170512610313106
116	0.40243104782879785
130	0.47965499547740303
141	0.477764793345237
150	0.15806441459118029
152	0.5056216256498656
163	0.5850921291551525
165	0.673932328681291
