trial_nr	runType	onset	duration	trial_type
1.0	tactile	3.47770013161835	2.22617716838158	choice
		7.22228203106124	1.0000000000000009	feedback
2.0	tactile	11.1003976227662	1.87931707723374	choice
		15.2427180700292	0.9999999999999982	feedback
3.0	tactile	19.372291248174	2.3994249518264	choice
		23.0626988662311	1.0	feedback
4.0	tactile	27.596148337946	2.1117972620541	choice
		31.7658337285588	1.0000000000000036	feedback
5.0	tactile	35.1763284688304	1.81350353116977	choice
		38.8159542033068	1.0	feedback
6.0	tactile	42.2580048041546	2.30880439584553	choice
		45.9824934732173	1.0	feedback
7.0	tactile	51.4684016129409	1.57087838705911	choice
		55.7760607333707	1.0	feedback
		63.700899745385	1.0	feedback
8.0	tactile	59.4676873441217	2.07411995587836	choice
		72.5387194826794	1.0	feedback
9.0	tactile	68.3234503465715	2.04039175342859	choice
		80.7909744867388	1.0	feedback
10.0	tactile	77.2160862214819	2.15019957851837	choice
		87.7330757702944	1.0	feedback
11.0	tactile	83.8103209850292	2.21041811497116	choice
		95.5612116684838	1.0	feedback
12.0	tactile	91.6483885658777	1.93483703412267	choice
13.0	tactile	101.349533172408	1.86478772759165	choice
		105.473957006262	1.0	feedback
		112.469730840734	1.0	feedback
14.0	tactile	108.87321136494	1.5701564350602	choice
		120.129741984687	1.0	feedback
15.0	tactile	116.104077388172	1.98376251182844	choice
		128.82050356026	1.0	feedback
16.0	tactile	124.826389406196	1.97739319380389	choice
		137.935193115965	1.0	feedback
17.0	tactile	134.19941888961	1.8419240103899	choice
18.0	tactile	142.597129984186	1.43983381581393	choice
		147.093492768221	1.0	feedback
		154.254664690533	1.0	feedback
19.0	tactile	150.188198734525	2.53175686547547	choice
20.0	tactile	159.323195201642	2.08967629835843	choice
		163.316659546309	1.0	feedback
21.0	tactile	167.906970439996	1.57068286000413	choice
		171.554844434287	1.0	feedback
22.0	tactile	174.821857776725	2.21193222327474	choice
		178.805843788523	1.0	feedback
23.0	tactile	182.23581163173	2.54286976827052	choice
		186.472757738997	1.0	feedback
		194.000902188844	1.0	feedback
24.0	tactile	190.134337197493	2.68389520250685	choice
		202.947099798662	1.0	feedback
25.0	tactile	199.3318513603	2.63197853969996	choice
26.0	tactile	208.335738915708	1.86117778429252	choice
		212.832629255865	1.0	feedback
		221.04070085977	1.0	feedback
27.0	tactile	217.530857753145	1.85618564685456	choice
		231.341027035625	1.0	feedback
28.0	tactile	226.893352375404	2.20235922459642	choice
		240.059829646187	1.0	feedback
29.0	tactile	235.819457682047	2.1045661179528	choice
		248.635881674565	1.0	feedback
30.0	tactile	244.346177409956	2.07553039004461	choice
		256.663746807891	1.0	feedback
31.0	tactile	252.446293077589	2.57199282241163	choice
32.0	tactile	260.064744063167	1.95249353683312	choice
		264.465159721942	1.0	feedback
33.0	tactile	268.134572390468	2.63548140953208	choice
		272.050088603226	1.0	feedback
		280.792187066255	1.0	feedback
34.0	tactile	276.884240842166	1.45263115783473	choice
35.0	tactile	284.282854423881	2.31297387611949	choice
		288.335115024193	1.0	feedback
		296.11674032225	1.0	feedback
36.0	tactile	292.290555878558	2.18268012144199	choice
		304.945355737355	1.0	feedback
37.0	tactile	300.66251832976	2.50822597024035	choice
		312.624157787748	1.0	feedback
38.0	tactile	308.128169734361	2.26949146563948	choice
39.0	tactile	317.769531868136	1.86120083186415	choice
		322.203950835911	1.0	feedback
		330.212661154339	1.0	feedback
40.0	tactile	326.251910523666	2.3214368763347	choice
		338.139144979705	1.0	feedback
41.0	tactile	334.354148853828	2.29066964617186	choice
		346.642124399546	1.0	feedback
42.0	tactile	342.807641505319	2.14807449468117	choice
43.0	tactile	351.978270860114	2.21572903988636	choice
		355.499806807217	1.0	feedback
		364.897739200497	1.0	feedback
44.0	tactile	361.174379185806	2.41633171419426	choice
		372.921361856468	1.0	feedback
45.0	tactile	368.80673498503	2.70528151497001	choice
		380.338580709984	1.0	feedback
46.0	tactile	376.680184733313	2.97661796668672	choice
47.0	tactile	384.027711455793	2.24003404420637	choice
		387.67125733534	1.0	feedback
		394.860994049733	1.0	feedback
48.0	tactile	391.36023749876	2.00370030124031	choice
		402.875803022537	1.0	feedback
49.0	tactile	399.01348109784	2.68448300216005	choice
		411.369297217213	1.0	feedback
50.0	tactile	407.793275411053		choice
		418.895911936507	1.0	feedback
51.0	tactile	415.27993890882	2.5040206911799	choice
		428.132961052185	1.0	feedback
52.0	tactile	423.716690062492	2.42003683750772	choice
		436.164277229492	1.0	feedback
53.0	tactile	432.317887847056	1.7394542529446	choice
		444.564768876023	1.0	feedback
54.0	tactile	440.172618286258	2.28432351374249	choice
55.0	tactile	449.305636529297	2.28840467070313	choice
		452.853425804433	1.0	feedback
		459.820987230838	1.0	feedback
56.0	tactile	456.213164115888		choice
		468.005008715826	1.0	feedback
57.0	tactile	463.687642359587	2.32508894041257	choice
		475.647850736488	1.0	feedback
58.0	tactile	471.200016943593	2.07705145640739	choice
		483.903011708399	1.0	feedback
59.0	tactile	479.561975342634	2.18302365736599	choice
60.0	tactile	487.568465514204	2.42245018579524	choice
		491.389802126173	1.0	feedback
